what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901246899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901248899
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1321901248941
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901252614
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901254833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901254940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901256270
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.RunLast",1321901256309
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1321901259544
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321901263681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901272783
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901275837
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1321901276153
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901285925
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321901286011
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901286237
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1321901288212
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321901296712
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1321901313416
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901319487
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901319552
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1321901328862
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321901331656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901354921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901357515
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1321901361632
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1321901361648
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1321901361719
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1321901361726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901367608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901376070
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1321901383005
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901392331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901408300
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1321901408359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901413509
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901416318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901417549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901431033
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901439253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901575450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901581708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901682161
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1321901682222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901707213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901796632
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901815782
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1321901856485
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1321901856556
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901924173
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.properties",1321901924220
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901937218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901978938
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321901980117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901982719
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321901986289
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321901987916
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902010985
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321902012147
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902013390
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902020661
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321902024787
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902031717
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902032988
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902034722
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902035038
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321902041944
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902045293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321902052205
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902059023
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902059066
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321902059096
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321902060962
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1321902061258
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1321902061990
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902064273
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902070672
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1321902073009
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902077991
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902079160
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1321902089260
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902095367
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902095664
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902095831
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902096131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321902098462
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321902099648
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321902099863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321902103221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321902107472
